Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohort ID,AME,UPS,AHRI,AOU,ACSCIII,ACSCII,AWG,BHP,BGI,BBJ,CGN,CTS,CPTH,CKB,CHOP,CSN,CON,CUE,DNB,DNBC,DPU,ELS,EPI,ESB,EPIC,GEV,GAH,GCH,HNP,ILHG,JHU,JPHC,KPRB,KEM,KBP,KCP,LIG,MUCHAP,MAU,MCPS,MCS,NICCC,NSH,NFBL,NHSI,NHSII,NIE,PLCO,SIM,QBC,QAG,SAPRIN,SBI,SGK,SHS,SAB,SAC,TWB,HUNT,TMC,TMM,UCL,UGPC,UKB,BDC,USN,VHM,WHI,UKLWC,GES,GEE,KOGES,BVU,ECHO,FMCS,GCO,NAKO,IGP,LFP,MVP,MWS,NTR,PGR,PCS,SNB,PEACE,MOBA
Target Enrollment,,,150000,"1,000,000",,,12000,,500000,,,,"352,000",,500000,,,"100,000",,,,,,,,"125,000","100,000",,"100,000",2000,1500000,,"450,000",300000,,,,100000,15000,,,,,,,,,,,60000,100000,700000,"300,000","100,000","136,000",200000,"120,000","200,000",,120000,"157,000",,"10,000",,"300,000","135,000",,,,"113,000","500,000",,,100000,,250000,,,,1000000,,,1000000,,,4000000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biospecimens,No - 0% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,Y - 26-50% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,No - 0% of cohort,Y - 76-100% of cohort,% Uknown,Y - 1-25% of cohort,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,100% of cohort,% Uknown,100% of cohort,None - 0% of cohort,Y - 26-50% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 51-75% of cohort,% Unknown,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,% Uknown,Y - 76-100% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,100% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,None - 0% of cohort,No - 0% of cohort,% Unknown,Yes - 76-100% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Genomic Data,Y - 76-100% of cohort,Y - 1-25% of cohort,None - 0% of cohort,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,Y - 26-50% of cohort,Y - 26-50% of cohort,Y - 1-25% of cohort,100% of cohort,No - 0% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,% Uknown,Y - 1-25% of cohort,Y - 76-100% of cohort,% Uknown,% Uknown,Y - 51-75% of cohort,No - 0% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,% Uknown,Y - 26-50% of cohort,None - 0% of cohort,Y - 1-25% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,100% of cohort,Y - 51-75% of cohort,Y - 1-25% of cohort,Y - 40% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,% Uknown,Y - 1-25% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,Y - 26-50% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 51-75% of cohort,65% of cohort (undergoing),Y - 51-75% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,No - 0% of cohort,% Unknown,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,None - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown
Genomic Data - WGS,1-25% of cohort,1-25% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,Y - 1-25% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,Y - 1-25% of cohort,1-25% of cohort,% Uknown,Y - 1-25% of cohort,% Uknown,1-25% of cohort,None - 0% of cohort,1-25% of cohort,% Uknown,Y - 1-25% of cohort,Y - 1-25% of cohort,% Uknown,% Uknown,None - 0% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,% Uknown,Y - 1-25% of cohort,% Uknown,Y - 1-25% of cohort,Y - 1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Uknown,Y - 1-25% of cohort,1-25% of cohort,% Uknown,1-25% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,Y - 26-50% of cohort,1-25% of cohort,None - 0% of cohort,Y - 51-75% of cohort,100% of cohort,None - 0% of cohort,1-25% of cohort,76-100% of cohort,Y - 1-25% of cohort,% Uknown,1-25% of cohort,1-25% of cohort,% Unknown,None - 0% of cohort,Y - 51-75% of cohort,None - 0% of cohort,76-100% of cohort,100% of cohort,1-25% of cohort,None - 0% of cohort,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Genomic Data - WES,1-25% of cohort,None - 0% of cohort,% Uknown,None - 0% of cohort,% Uknown,% Uknown,Y - 1-25% of cohort,% Uknown,Y - 26-50% of cohort,% Uknown,% Uknown,Y - 1-25% of cohort,1-25% of cohort,% Uknown,Y - 26-50% of cohort,% Uknown,1-25% of cohort,None - 0% of cohort,1-25% of cohort,% Uknown,Y - 1-25% of cohort,None - 0% of cohort,% Uknown,% Uknown,None - 0% of cohort,% Uknown,76-100% of cohort,None - 0% of cohort,% Uknown,Y - 26-50% of cohort,% Uknown,% Unknown,Y - 1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,Y - 1-25% of cohort,None - 0% of cohort,% Uknown,Y - 76-100% of cohort,1-25% of cohort,% Uknown,None - 0% of cohort,% Uknown,Y - 1-25% of cohort,Y - 1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,Y - 1-25% of cohort,% Uknown,51-75% of cohort,None - 0% of cohort,Y - 51-75% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,100% of cohort,1-25% of cohort,None - 0% of cohort,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Genomic Data - Genotype Array,76-100% of cohort,None - 0% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,% Uknown,None - 0% of cohort,% Uknown,% Uknown,Y - 1-25% of cohort,1-25% of cohort,% Uknown,Y - 76-100% of cohort,% Uknown,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Uknown,Y - 1-25% of cohort,Y - 76-100% of cohort,% Uknown,% Uknown,51-75% of cohort,% Uknown,76-100% of cohort,None - 0% of cohort,% Uknown,None - 0% of cohort,% Uknown,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,1-25% of cohort,100% of cohort,Y - 51-75% of cohort,None - 0% of cohort,% Uknown,Y - 76-100% of cohort,26-50% of cohort,% Uknown,1-25% of cohort,% Uknown,Y - 1-25% of cohort,Y - 1-25% of cohort,None - 0% of cohort,76-100% of cohort,Y - 26-50% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 1-25% of cohort,76-100% of cohort,1-25% of cohort,26-50% of cohort,% Uknown,51-75% of cohort,65% of cohort (undergoing),Y - 51-75% of cohort,1-25% of cohort,76-100% of cohort,None - 0% of cohort,76-100% of cohort,100% of cohort,76-100% of cohort,Y - 26-50% of cohort,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Genomic Data - Other,% Unknown,% Uknown,% Uknown,"10,000 proteomics and 10,000 mRNA",% Uknown,% Uknown,% Uknown,% Uknown,None - 0% of cohort,% Uknown,% Uknown,None - 0% of cohort,1-25% of cohort,% Uknown,Y - 1-25% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,% Uknown,% Uknown,1-25% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,% Uknown,Y - 1-25% of cohort,% Uknown,% Unknown,None - 0% of cohort,None - 0% of cohort,% Uknown,None - 0% of cohort,% Uknown,None - 0% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,% Uknown,% Uknown,% Uknown,% Uknown,% Uknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Uknown,% Uknown,% Uknown,% Uknown,None - 0% of cohort,1-25% of cohort,% Unknown,None - 0% of cohort,None - 0% of cohort,% Uknown,None - 0% of cohort,% Uknown,1-25% of cohort,% Uknown,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Demographic data,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,% Uknown,% Uknown,100% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,% Uknown,100% of cohort,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,% Uknown,100% of cohort,None - 0% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,Y - 26-50% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,% Uknown,Y - 76-100% of cohort,Y - 51-75% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,% Unknown,Yes,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Imaging Data,No - 0% of cohort,No - 0% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,% Uknown,% Uknown,None - 0% of cohort,% Uknown,100% of cohort,% Uknown,% Uknown,None - 0% of cohort,Y - 1-25% of cohort,No - 0% of cohort,100% of cohort,Y - 1-25% of cohort,No - 0% of cohort,No - 0% of cohort,No - 0% of cohort,% Uknown,Y - 26-50% of cohort,Y - 76-100% of cohort,% Uknown,% Uknown,No - 0% of cohort,No - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,% Uknown,Y - 1-25% of cohort,None - 0% of cohort,None - 0% of cohort,100% of cohort,None - 0% of cohort,Y - 1-25% of cohort,% Unknown,None - 0% of cohort,Y - 1-25% of cohort,No - 0% of cohort,None - 0% of cohort,Y - 1-25% of cohort,% Uknown,No - 0% of cohort,No - 0% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,Y - 1-25% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,No - 0% of cohort,Y - 26-50% of cohort,No - 0% of cohort,No - 0% of cohort,Y - 1-25% of cohort,No - 0% of cohort,Y - 1-25% of cohort,Y - 26-50% of cohort,No - 0% of cohort,Y - 1-25% of cohort,No - 0% of cohort,None - 0% of cohort,No - 0% of cohort,% Unknown,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Participants' Address or Geocode Data,No - 0% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,% Uknown,% Uknown,None - 0% of cohort,% Uknown,Y - 76-100% of cohort,% Uknown,% Uknown,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,% Uknown,Y - 1-25% of cohort,100% of cohort,% Uknown,% Uknown,No - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,100% of cohort,No - 0% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,% Uknown,No - 0% of cohort,Y - 51-75% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 51-75% of cohort,100% of cohort,100% of cohort,None - 0% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,No - 0% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 51-75% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,None - 0% of cohort,No - 0% of cohort,% Unknown,Yes - 76-100% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Electronic Health Record Data,Y - 1-25% of cohort,Y - 1-25% of cohort,Y - 76-100% of cohort,100% of cohort,% Uknown,% Uknown,None - 0% of cohort,% Uknown,Y - 76-100% of cohort,% Uknown,% Uknown,None - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,% Uknown,Y - 1-25% of cohort,Y - 76-100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,100% of cohort,% Uknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,100% of cohort,Y - 1-25% of cohort,Y - 1-25% of cohort,100% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,% Uknown,None - 0% of cohort,Y - 1-25% of cohort,% Uknown,Y - 51-75% of cohort,Y - 51-75% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,No - 0% of cohort,100% of cohort,Y - 26-50% of cohort,Y - 51-75% of cohort,Y - 51-75% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 26-50% of cohort,Y - 76-100% of cohort,No - 0% of cohort,No - 0% of cohort,100% of cohort,No - 0% of cohort,Y - 26-50% of cohort,Y - 76-100% of cohort,No - 0% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,No - 0% of cohort,% Unknown,Yes - 76-100% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Phenotypic/Clinical Data,Y - 1-25% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,100% of cohort,% Uknown,% Uknown,100% of cohort,% Uknown,Y - 26-50% of cohort,% Uknown,% Uknown,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,% Uknown,Y - 76-100% of cohort,100% of cohort,% Uknown,% Uknown,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 1-25% of cohort,100% of cohort,% Uknown,100% of cohort,None - 0% of cohort,Y - 26-50% of cohort,Y - 51-75% of cohort,100% of cohort,Y - 1-25% of cohort,100% of cohort,None - 0% of cohort,None - 0% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,% Uknown,Y - 76-100% of cohort,Y - 51-75% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,None - 0% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,None - 0% of cohort,Y - 76-100% of cohort,100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,No - 0% of cohort,% Unknown,No - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,None - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohorts that haven't done the Survey 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
