"ID","Field Label","Class Type","GECKO Label","Definition","Comment",,,,,,,,,,,,,,,,,,,
"GCS:SymDifficultSwallowingFlag","SymDifficultSwallowingFlag",,"occurrence of difficulty swallowing","if the participant has Difficult Swallowing Symptom history select yes if not select no",,,,,,,,,,,,,,,,,,,,
"GCS:SymDifficultSwallowingWhen","SymDifficultSwallowingWhen",,"occurrence of difficulty swallowing","when Difficult Swallowing Symptom happen in First time",,,,,,,,,,,,,,,,,,,,
"GCS:SymRefluxPastYearFreq","SymRefluxPastYearFreq",,"occurrence of acid reflux","if the participant has Reflux Symptom in past year select yes if not select no",,,,,,,,,,,,,,,,,,,,
"GCS:SymRefluxPastYearSeverity","SymRefluxPastYearSeverity",,"occurrence of acid reflux","Severity Reflux Symptom in past year",,,,,,,,,,,,,,,,,,,,
"GCS:SymRefluxPriorYearsFreq","SymRefluxPriorYearsFreq",,"occurrence of acid reflux","if the participant has Reflux Symptom in Prior year select yes if not select no",,,,,,,,,,,,,,,,,,,,
"GCS:SymRefluxPriorYearsSeverity","SymRefluxPriorYearsSeverity",,"occurrence of acid reflux","Severity Reflux Symptom in Prior year",,,,,,,,,,,,,,,,,,,,
"GCS:RefluxHeartburnTXFlag","RefluxHeartburnTXFlag",,"medication","if participant used drug for Heartburn symptoms select yes if not select no and if participant doesn't have symtom selectLack of signage","should we create medication for heartburn?",,,,,,,,,,,,,,,,,,,
"GCS:WeightLossFlag","WeightLossFlag",,"clinical history","if the patient has Weightloss in past year select yes if not select no","should we be more specific here?",,,,,,,,,,,,,,,,,,,
"GCS:WeightLossAmount","WeightLossAmount",,"clinical history","Specifies the amount of weight loss",,,,,,,,,,,,,,,,,,,,
"GCS:WeightLossIntent","WeightLossIntent",,"clinical history","if the patient has Intentional weight loss select Yes if not select no and doesn't have weight loss select I have no weight loss",,,,,,,,,,,,,,,,,,,,
"GCS:cancerdxflag","cancerdxflag",,"clinical history of cancer","Past history of cancer diagnosed by a physician?",,,,,,,,,,,,,,,,,,,,
"GCS:cancerdxage","cancerdxage",,"clinical history of cancer","Year of diagnosis of cancer if detected in participant",,,,,,,,,,,,,,,,,,,,
"GCS:cancerdxsite","cancerdxsite",,"clinical history of cancer","Original site of cancer",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelRelativeCode_1","CancRelRelativeCode_1",,"clinical history of cancer","Specifies the relative of participants with a history of cancer",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelAgeDiagnosis_1","CancRelAgeDiagnosis_1",,"clinical history of cancer","Specifies the age of relative when cancer was diagnosed",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelSite_1","CancRelSite_1",,"clinical history of cancer","Specifies the site of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelICD10_1","CancRelICD10_1",,"clinical history of cancer","Specifies the ICD-10 code of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelRelativeCode_2","CancRelRelativeCode_2",,"family clinical history","Specifies the additional relative of participants with a history of cancer",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelAgeDiagnosis_2","CancRelAgeDiagnosis_2",,"family clinical history","Specifies the age of relative when cancer was diagnosed",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelSite_2","CancRelSite_2",,"family clinical history","Specifies the site of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelICD10_2","CancRelICD10_2",,"family clinical history","Specifies the ICD-10 code of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelRelativeCode_3","CancRelRelativeCode_3",,"family clinical history","Specifies the additional relative of participants with a history of cancer",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelAgeDiagnosis_3","CancRelAgeDiagnosis_3",,"family clinical history","Specifies the age of relative when cancer was diagnosed",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelSite_3","CancRelSite_3",,"family clinical history","Specifies the site of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelICD10_3","CancRelICD10_3",,"family clinical history","Specifies the ICD-10 code of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelRelativeCode_4","CancRelRelativeCode_4",,"family clinical history","Specifies the additional relative of participants with a history of cancer",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelAgeDiagnosis_4","CancRelAgeDiagnosis_4",,"family clinical history","Specifies the age of relative when cancer was diagnosed",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelSite_4","CancRelSite_4",,"family clinical history","Specifies the site of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:CancRelICD10_4","CancRelICD10_4",,"family clinical history","Specifies the ICD-10 code of cancer in the relative of participant",,,,,,,,,,,,,,,,,,,,
"GCS:TobEverRegularFlag","TobEverRegularFlag","subclass","tobacco","Specifies the participant used cigar for 6 Months",,,,,,,,,,,,,,,,,,,,
"GCS:TobCigsNow","TobCigsNow","subclass","tobacco","Specifies the participant uses cigar Now",,,,,,,,,,,,,,,,,,,,
"GCS:TobNonCigFlag","TobNonCigFlag","subclass","tobacco","Specifies the participant used tobacco other than cigar for 6 Months",,,,,,,,,,,,,,,,,,,,
"GCS:TobStartAge_1","TobStartAge_1","subclass","tobacco","Specifies the participant Used this Tobacco type From Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobEndAge_1","TobEndAge_1","subclass","tobacco","Specifies the participant Used this Tobacco type To Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDuration_1","TobDuration_1","subclass","tobacco","Specifies the participant Used tobacco Duration, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobType_1","TobType_1","subclass","tobacco","Specifies the participant Used type of Tobacco, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobNumberPerDay_1","TobNumberPerDay_1","subclass","tobacco","Specifies the participant Used this tobacco how many times per day, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDaysPerWeek_1","TobDaysPerWeek_1","subclass","tobacco","Specifies the participant Used this tobacco how many days in week, first history",,,,,,,,,,,,,,,,,,,,
"GCS:CigNumPerDay_1","CigNumPerDay_1","subclass","tobacco","Specifies the participant Used this cigar how many times per day, first history",,,,,,,,,,,,,,,,,,,,
"GCS:Cigpackyear_1","Cigpackyear_1","subclass","tobacco","Specifies the participant cumulative use, first history",,,,,,,,,,,,,,,,,,,,
"GCS:TobStartAge_2","TobStartAge_2","subclass","tobacco","Specifies the participant Used this Tobacco type From Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobEndAge_2","TobEndAge_2","subclass","tobacco","Specifies the participant Used this Tobacco type To Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDuration_2","TobDuration_2","subclass","tobacco","Specifies the participant Used tobacco Duration, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobType_2","TobType_2","subclass","tobacco","Specifies the participant Used type of Tobacco, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobNumberPerDay_2","TobNumberPerDay_2","subclass","tobacco","Specifies the participant Used this tobacco how many times per day, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDaysPerWeek_2","TobDaysPerWeek_2","subclass","tobacco","Specifies the participant Used this tobacco how many days in week, second history",,,,,,,,,,,,,,,,,,,,
"GCS:CigNumPerDay_2","CigNumPerDay_2","subclass","tobacco","Specifies the participant Used this cigar how many times per day, second history",,,,,,,,,,,,,,,,,,,,
"GCS:Cigpackyear_2","Cigpackyear_2","subclass","tobacco","Specifies the participant cumulative use, second history",,,,,,,,,,,,,,,,,,,,
"GCS:TobStartAge_3","TobStartAge_3","subclass","tobacco","Specifies the participant Used this Tobacco type From Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobEndAge_3","TobEndAge_3","subclass","tobacco","Specifies the participant Used this Tobacco type To Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDuration_3","TobDuration_3","subclass","tobacco","Specifies the participant Used tobacco Duration, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobType_3","TobType_3","subclass","tobacco","Specifies the participant Used type of Tobacco, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobNumberPerDay_3","TobNumberPerDay_3","subclass","tobacco","Specifies the participant Used this tobacco how many times per day, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDaysPerWeek_3","TobDaysPerWeek_3","subclass","tobacco","Specifies the participant Used this tobacco how many days in week, third history",,,,,,,,,,,,,,,,,,,,
"GCS:CigNumPerDay_3","CigNumPerDay_3","subclass","tobacco","Specifies the participant Used this cigar how many times per day, third history",,,,,,,,,,,,,,,,,,,,
"GCS:Cigpackyear_3","Cigpackyear_3","subclass","tobacco","Specifies the participant cumulative use, third history",,,,,,,,,,,,,,,,,,,,
"GCS:TobStartAge_4","TobStartAge_4","subclass","tobacco","Specifies the participant Used this Tobacco type From Age, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TobEndAge_4","TobEndAge_4","subclass","tobacco","Specifies the participant Used this Tobacco type To Age, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDuration_4","TobDuration_4","subclass","tobacco","Specifies the participant Used tobacco Duration, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TobType_4","TobType_4","subclass","tobacco","Specifies the participant Used type of Tobacco, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TobNumberPerDay_4","TobNumberPerDay_4","subclass","tobacco","Specifies the participant Used this tobacco how many times per day, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TobDaysPerWeek_4","TobDaysPerWeek_4","subclass","tobacco","Specifies the participant Used this tobacco how many days in week, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:CigNumPerDay_4","CigNumPerDay_4","subclass","tobacco","Specifies the participant Used this cigar how many times per day, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:Cigpackyear_4","Cigpackyear_4","subclass","tobacco","Specifies the participant cumulative use, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:total_packyear","total_packyear","subclass","tobacco","Specifies the participant total cumulative use",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateEverRegularFlag","OpiateEverRegularFlag",,"opiate use history","Specifies the participant ever used opiume for 6 Months",,,,,,,,,,,,,,,,,,,,
"GCS:OpiatePersonalChildhoodExp","OpiatePersonalChildhoodExp",,"opiate use history","Specifies the using opium in Childhood",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateAdministeredToChildrenFlag","OpiateAdministeredToChildrenFlag",,,"Specifies the participant gave opium to children","???",,,,,,,,,,,,,,,,,,,
"GCS:OpiateType","OpiateType",,"opiate use history","Specifies the participant Used Opium type",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateRoute","OpiateRoute",,"opiate use history","Specifies the route by which participant uses opium",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateStartAge_1","OpiateStartAge_1",,"opiate use history","Specifies the participant Used this Opium type From Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateEndAge_1","OpiateEndAge_1",,"opiate use history","Specifies the participant Used this Opium type To Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDuration_1","OpiateDuration_1",,"opiate use history","Specifies the participant Used this Opium Duration, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateNokhod_1","OpiateNokhod_1",,"opiate use history","Specifies the participant Used this Opium amount in Pea size, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDaysPerWeek_1","OpiateDaysPerWeek_1",,"opiate use history","Specifies the participant Used this Opium day in week, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateAmountperDay_1","OpiateAmountperDay_1",,"opiate use history","Specifies the participant Used this Opium Amount per day, first history",,,,,,,,,,,,,,,,,,,,
"GCS:Opiatecum_1","Opiatecum_1",,"opiate use history","Specifies the participant cumulative use of Opium, first history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateStartAge_2","OpiateStartAge_2",,"opiate use history","Specifies the participant Used this Opium type From Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateEndAge_2","OpiateEndAge_2",,"opiate use history","Specifies the participant Used this Opium type To Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDuration_2","OpiateDuration_2",,"opiate use history","Specifies the participant Used this Opium Duration, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateNokhod_2","OpiateNokhod_2",,"opiate use history","Specifies the participant Used this Opium amount in Pea size, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDaysPerWeek_2","OpiateDaysPerWeek_2",,"opiate use history","Specifies the participant Used this Opium day in week, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateAmountperDay_2","OpiateAmountperDay_2",,"opiate use history","Specifies the participant Used this Opium Amount per day, second history",,,,,,,,,,,,,,,,,,,,
"GCS:Opiatecum_2","Opiatecum_2",,"opiate use history","Specifies the participant cumulative use of Opium, second history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateStartAge_3","OpiateStartAge_3",,"opiate use history","Specifies the participant Used this Opium type From Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateEndAge_3","OpiateEndAge_3",,"opiate use history","Specifies the participant Used this Opium type To Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDuration_3","OpiateDuration_3",,"opiate use history","Specifies the participant Used this Opium Duration, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateNokhod_3","OpiateNokhod_3",,"opiate use history","Specifies the participant Used this Opium amount in Pea size, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDaysPerWeek_3","OpiateDaysPerWeek_3",,"opiate use history","Specifies the participant Used this Opium day in week, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateAmountperDay_3","OpiateAmountperDay_3",,"opiate use history","Specifies the participant Used this Opium Amount per day, third history",,,,,,,,,,,,,,,,,,,,
"GCS:Opiatecum_3","Opiatecum_3",,"opiate use history","Specifies the participant cumulative use of Opium, third history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateStartAge_4","OpiateStartAge_4",,"opiate use history","Specifies the participant Used this Opium type From Age, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateEndAge_4","OpiateEndAge_4",,"opiate use history","Specifies the participant Used this Opium type To Age, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDuration_4","OpiateDuration_4",,"opiate use history","Specifies the participant Used this Opium Duration, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateNokhod_4","OpiateNokhod_4",,"opiate use history","Specifies the participant Used this Opium amount in Pea size, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateDaysPerWeek_4","OpiateDaysPerWeek_4",,"opiate use history","Specifies the participant Used this Opium day in week, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:OpiateAmountperDay_4","OpiateAmountperDay_4",,"opiate use history","Specifies the participant Used this Opium Amount per day, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:Opiatecum_4","Opiatecum_4",,"opiate use history","Specifies the participant cumulative use of Opium, fourth history",,,,,,,,,,,,,,,,,,,,
"GCS:TotalNokhodDay","TotalNokhodDay",,"opiate use history","Specifies the participant total cumulative use of Opium",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEverRegularFlag","AlcEverRegularFlag","subclass","alcohol","Specifies the participant ever used alcohol for 6 Months",,,,,,,,,,,,,,,,,,,,
"GCS:AlcStartAge_1","AlcStartAge_1","subclass","alcohol","Specifies the participant used alcohol From Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEndAge_1","AlcEndAge_1","subclass","alcohol","Specifies the participant used alcohol To Age, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcType_1","AlcType_1","subclass","alcohol","Specifies the participant alcohol used Type, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcQuantityPerEpisode_1","AlcQuantityPerEpisode_1","subclass","alcohol","Specifies the average alcohol the participant used per episode, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEpisodesPerMonth_1","AlcEpisodesPerMonth_1","subclass","alcohol","Specifies the participant Alcohol episodes in month, first history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcStartAge_2","AlcStartAge_2","subclass","alcohol","Specifies the participant used alcohol From Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEndAge_2","AlcEndAge_2","subclass","alcohol","Specifies the participant used alcohol To Age, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcType_2","AlcType_2","subclass","alcohol","Specifies the participant alcohol used Type, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcQuantityPerEpisode_2","AlcQuantityPerEpisode_2","subclass","alcohol","Specifies the average alcohol the participant used per episode, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEpisodesPerMonth_2","AlcEpisodesPerMonth_2","subclass","alcohol","Specifies the participant Alcohol episodes in month, second history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcStartAge_3","AlcStartAge_3","subclass","alcohol","Specifies the participant used alcohol From Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEndAge_3","AlcEndAge_3","subclass","alcohol","Specifies the participant used alcohol To Age, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcType_3","AlcType_3","subclass","alcohol","Specifies the participant alcohol used Type, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcQuantityPerEpisode_3","AlcQuantityPerEpisode_3","subclass","alcohol","Specifies the average alcohol the participant used per episode, third history",,,,,,,,,,,,,,,,,,,,
"GCS:AlcEpisodesPerMonth_3","AlcEpisodesPerMonth_3","subclass","alcohol","Specifies the participant Alcohol episodes in month, third history",,,,,,,,,,,,,,,,,,,,
"GCS:DrugCurrentuse","DrugCurrentuse","subclass","medication","Currently taking any medication?",,,,,,,,,,,,,,,,,,,,
"GCS:antiHTN","antiHTN","subclass","history of medication for hypertension","Anti-hypertensive drugs: 1: diuretics 2: beta-blockers 3: ACE Inhibitors 4: ARBs 5: Alpha-adrenergic blockers 6: Calcium channel blockers 7:other anti-hypertensives",,,,,,,,,,,,,,,,,,,,
"GCS:antiDM","antiDM","subclass","history of medication for diabetes","Anti-diabetic drugs: 1: Glibenclamide 2: metformin 3: insulin 4: other",,,,,,,,,,,,,,,,,,,,
"GCS:cardiac","cardiac","subclass","history of medication for cardiac disease","Cardiac drugs: 1: Anti-platelets 2: statins 3: Beta-blockers 4: Nitrates 5: ACE Inhibitors 6: ARBs 7: Calcium Channel blockers 8: other",,,,,,,,,,,,,,,,,,,,
"GCS:antilipid","antilipid","subclass","history of medication for high cholesterol","Lipid-lowering drugs: 1: Statins 2: Gemfibrozil 3: other",,,,,,,,,,,,,,,,,,,,
"GCS:mentaldrug","mentaldrug","subclass","history of medication for mental disorder","Mental disorders: 1: Benzodiazepines 2: Sodium Valproate 3: Anti-epileptics 4: Antidepressants 5: Anti-anxiety medications 6: Psychoactive medications",,,,,,,,,,,,,,,,,,,,
"GCS:Corticosteroid","Corticosteroid","subclass","use of corticosteroids","Corticosteroids: 1: injection 2: oral 3: topical",,,,,,,,,,,,,,,,,,,,
"GCS:Gidrugs","Gidrugs","subclass","history of medication for gastrointestinal disease","Gastrointestinal: 1: H2 Blockers 2: PPIs 3: Clindinium C",,,,,,,,,,,,,,,,,,,,
"GCS:antibiotics","antibiotics","subclass","use of antibiotics","Antibiotics: 1: Amoxicillin 2: Cefixime 3: Azithromycin 4: Metronidazole 5: other",,,,,,,,,,,,,,,,,,,,
"GCS:diuretic","diuretic","subclass","use of diuretics","Diuretics",,,,,,,,,,,,,,,,,,,,
"GCS:betablocker","betablocker","subclass","use of beta blockers","Beta Blockers",,,,,,,,,,,,,,,,,,,,
"GCS:ACEinhibitor","ACEinhibitor","subclass","use of angiotensin convertin enzyme inhibitors","Angiotensin Converting Enzyme Inhibitors",,,,,,,,,,,,,,,,,,,,
"GCS:ARB","ARB","subclass","use of angiotensin receptor blockers","Angiotensin Receptor Blockers",,,,,,,,,,,,,,,,,,,,
"GCS:alphablocker","alphablocker","subclass","use of alpha adrenergic blockers","Alpha Adrenergic Blockers",,,,,,,,,,,,,,,,,,,,
"GCS:CCBlocker","CCBlocker","subclass","use of calcium channel blockers","Calcium Channel Blockers",,,,,,,,,,,,,,,,,,,,
"GCS:Glibenclamide","Glibenclamide","subclass","use of glibenclamide","Glibenclamide",,,,,,,,,,,,,,,,,,,,
"GCS:Metformin","Metformin","subclass","use of metformin","Metformin",,,,,,,,,,,,,,,,,,,,
"GCS:Insulin","Insulin","subclass","use of insulin","Insulin",,,,,,,,,,,,,,,,,,,,
"GCS:Antiplatelets","Antiplatelets","subclass","use of antiplatelets","Anti-platelets",,,,,,,,,,,,,,,,,,,,
"GCS:Statins","Statins","subclass","use of statins","Statins",,,,,,,,,,,,,,,,,,,,
"GCS:Nitrates","Nitrates","subclass","use of nitrates","Nitrates",,,,,,,,,,,,,,,,,,,,
"GCS:Gemfibrozil","Gemfibrozil","subclass","use of gemfibroxil","Gemfibrozil",,,,,,,,,,,,,,,,,,,,
"GCS:Acetaminophen","Acetaminophen","subclass","use of acetaminophen","Acetaminophen and Acetaminophen Codein",,,,,,,,,,,,,,,,,,,,
"GCS:Ibuprofen","Ibuprofen","subclass","use of ibuprofen","Ibuprofen",,,,,,,,,,,,,,,,,,,,
"GCS:Diclophenac","Diclophenac","subclass","use of diclophenac","Diclophenac",,,,,,,,,,,,,,,,,,,,
"GCS:Indomethacin","Indomethacin","subclass","use of indomethacin","Indomethacin",,,,,,,,,,,,,,,,,,,,
"GCS:Levothyroxin","Levothyroxin","subclass","use of levthyroxine","Levthyroxin",,,,,,,,,,,,,,,,,,,,
"GCS:Methotrexate","Methotrexate","subclass","use of methotrexate","Methotrexate",,,,,,,,,,,,,,,,,,,,
"GCS:Other","Other","subclass","medication","Other",,,,,,,,,,,,,,,,,,,,
"GCS:DrugCurrentuse","DrugCurrentuse","subclass","medication","Currently taking any medication?",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_1","drugname_1","subclass","medication","Name of drug 1","Could name fall under \"prescription\"?",,,,,,,,,,,,,,,,,,,
"GCS:drugduration_1","drugduration_1","subclass","medication","Number of years being under treatment 1",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_1","drugfrequency_1","subclass","posology","Frequency of drug consumption 1",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_1","drugdose_1","subclass","posology","Dose of drug consumed 1",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_2","drugname_2","subclass","medication","Name of drug 2",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_2","drugduration_2","subclass","medication","Number of years being under treatment 2",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_2","drugfrequency_2","subclass","posology","Frequency of drug consumption 2",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_2","drugdose_2","subclass","posology","Dose of drug consumed 2",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_3","drugname_3","subclass","medication","Name of drug 3",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_3","drugduration_3","subclass","medication","Number of years being under treatment 3",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_3","drugfrequency_3","subclass","posology","Frequency of drug consumption 3",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_3","drugdose_3","subclass","posology","Dose of drug consumed 3",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_4","drugname_4","subclass","medication","Name of drug 4",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_4","drugduration_4","subclass","medication","Number of years being under treatment 4",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_4","drugfrequency_4","subclass","posology","Frequency of drug consumption 4",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_4","drugdose_4","subclass","posology","Dose of drug consumed 4",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_5","drugname_5","subclass","medication","Name of drug 5",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_5","drugduration_5","subclass","medication","Number of years being under treatment 5",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_5","drugfrequency_5","subclass","posology","Frequency of drug consumption 5",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_5","drugdose_5","subclass","posology","Dose of drug consumed 5",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_6","drugname_6","subclass","medication","Name of drug 6",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_6","drugduration_6","subclass","medication","Number of years being under treatment 6",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_6","drugfrequency_6","subclass","posology","Frequency of drug consumption 6",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_6","drugdose_6","subclass","posology","Dose of drug consumed 6",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_7","drugname_7","subclass","medication","Name of drug 7",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_7","drugduration_7","subclass","medication","Number of years being under treatment 7",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_7","drugfrequency_7","subclass","posology","Frequency of drug consumption 7",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_7","drugdose_7","subclass","posology","Dose of drug consumed 7",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_8","drugname_8","subclass","medication","Name of drug 8",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_8","drugduration_8","subclass","medication","Number of years being under treatment 8",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_8","drugfrequency_8","subclass","posology","Frequency of drug consumption 8",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_8","drugdose_8","subclass","posology","Dose of drug consumed 8",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_9","drugname_9","subclass","medication","Name of drug 9",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_9","drugduration_9","subclass","medication","Number of years being under treatment 9",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_9","drugfrequency_9","subclass","posology","Frequency of drug consumption 9",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_9","drugdose_9","subclass","posology","Dose of drug consumed 9",,,,,,,,,,,,,,,,,,,,
"GCS:drugname_10","drugname_10","subclass","medication","Name of drug 10",,,,,,,,,,,,,,,,,,,,
"GCS:drugduration_10","drugduration_10","subclass","medication","Number of years being under treatment 10",,,,,,,,,,,,,,,,,,,,
"GCS:drugfrequency_10","drugfrequency_10","subclass","posology","Frequency of drug consumption 10",,,,,,,,,,,,,,,,,,,,
"GCS:drugdose_10","drugdose_10","subclass","posology","Dose of drug consumed 10",,,,,,,,,,,,,,,,,,,,
"GCS:OralPermanentTeethLossFlag","OralPermanentTeethLossFlag","subclass","oral health history","Permanent Teeth Loss",,,,,,,,,,,,,,,,,,,,
"GCS:OralPermanentTeethAgeFirstLoss","OralPermanentTeethAgeFirstLoss","subclass","oral health history","Specifies the age of first Permanent Teeth Loss",,,,,,,,,,,,,,,,,,,,
"GCS:OralUpperDentureFlag","OralUpperDentureFlag","subclass","oral health history","Specifies the participant used Upper Denture",,,,,,,,,,,,,,,,,,,,
"GCS:OralLowerDentureFlag","OralLowerDentureFlag","subclass","oral health history","Specifies the participant used Lower Denture",,,,,,,,,,,,,,,,,,,,
"GCS:OralUpperDentureUse","OralUpperDentureUse","subclass","oral health history","Specifies the participant used Upper Denture during the day",,,,,,,,,,,,,,,,,,,,
"GCS:OralLowerDentureUse","OralLowerDentureUse","subclass","oral health history","Specifies the participant used Lower Denture during the day",,,,,,,,,,,,,,,,,,,,
"GCS:OralAgeDentureUpper","OralAgeDentureUpper","subclass","oral health history","Specifies the age of participant first used Upper Denture",,,,,,,,,,,,,,,,,,,,
