ID	Field Label	Class Type	GECKO Label	Comment																					
VZ:RadRightLungNodeEnlarge	Radiologist Right Lung Node Enlargement		X-ray imaging result																						
VZ:RadRightLungOther	Radiologist Right Lung Other		X-ray imaging result																						
VZ:WillingSurveyedAttempt1	Willing Surveyed Attempt 1		Vukuzazi																						
VZ:RadActiveTB	Radiologist Diagnostic ActiveTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:RadOldTB	Radiologist Diagnostic OldTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:RadProbableTB	Radiologist Diagnostic ProbableTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:RadOtherInfection	Radiologist Diagnostic Other Infection		X-ray imaging result|diagnosis of bacterial infection																						
VZ:RadInflammatoryDisorder	Radiologist Diagnostic Inflammatory Disorder		X-ray imaging result|diagnosis of inflammatory disorder																						
VZ:RadNeoplasm	Radiologistr Diagnostic Neoplasm		X-ray imaging result	should this be oncological?																					
VZ:RadTrauma	Radiologist Diagnostic Trauma		X-ray imaging result																						
VZ:RadCongenitalAbnormality	Radiologist Diagnostic CongenitalAbnormality		X-ray imaging result																						
VZ:RadCardiacDisorder	Radiologist Diagnostic CardiacDisorder		X-ray imaging result|circulatory system																						
VZ:RadVascularDisorder	Radiologist Diagnostic VascularDisorder		X-ray imaging result|circulatory system																						
VZ:RadDegenerativeDisorder	Radiologist Diagnostic Degenerative Disorder		X-ray imaging result																						
VZ:RadTBDiagnosticOther	Radiologist TB Diagnostic Other		X-ray imaging result|diagnosis of tuberculosis																						
VZ:LabResultDate	Lab Result Date		Vukuzazi																						
VZ:AbnormalResult	Is Result Abnormal?		Vukuzazi																						
VZ:ClinicalReview	Needs Clinical Review?		Vukuzazi																						
VZ:CD4LymphPercent	CD4 Lymphocytes %		blood lymphocyte count value																						
VZ:CD4LymphAb	CD4 Lymphocytes Abs		blood lymphocyte count value																						
VZ:CD4CD8Ratio	CD4/CD8 Ratio		blood lymphocyte count value																						
VZ:CD8LymphPercent	CD8 Lymphocytes %		blood lymphocyte count value																						
VZ:CD8LymphAb	CD8 Lymphocytes Abs		blood lymphocyte count value																						
VZ:HBA1c	HBA1c		blood hemoglobin A1c level value																						
VZ:HBA1CPercent	HBA1C%		blood hemoglobin A1c level value																						
VZ:Glucose	Glucose Average (calculated)		blood glucose level value																						
VZ:Rifampicin	Rifampicin Resistance		Vukuzazi																						
VZ:GeneXpert	TB GeneXpert Test Result		Vukuzazi																						
VZ:LiquidCulture	Liquid Culture Result(MGIT)		diagnosis of tuberculosis																						
VZ:SolidCulture	Solid Culture Result(7H11)		diagnosis of tuberculosis																						
VZ:SolidIncub	Solid Culture Incubation		diagnosis of tuberculosis																						
VZ:HIVElisa	HIV Elisa Result		diagnosis of HIV	or should this be blood test?																					
VZ:VL	HIV Viral Load Result		diagnosis of HIV	or should this be blood test?																					
VZ:MOLeftLungNormal	Medical Officer Left Lung Normal		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungConsolid	Medical Officer Left Lung Consolidation		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungCavitation	Medical Officer Left Lung Cavitation		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungNodules	Medical Officer Left Lung Nodules		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungMass	Medical Officer Left Lung Mass		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungReticular	Medical Officer Left Lung Reticular Opacities		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungFibrosis	Medical Officer Left Lung Fibrosis		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungCalcification	Medical Officer Left Lung calcification		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungPleuralThick	Medical Officer Left Lung Pleural Thickening		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungPleuralEffusion	Medical Officer Left Lung Pleural Effusion		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungNodeEnlarge	Medical Officer Left Lung Node Enlargement		Vukuzazi	are these from X-ray?																					
VZ:MOLeftLungOther	Medical Officer Left Lung Other		Vukuzazi	are these from X-ray?																					
VZ:MORightLungNormal	Medical Officer Right Lung Normal		Vukuzazi	are these from X-ray?																					
VZ:MORightLungConsolid	Medical Officer Right Lung Consolidation		Vukuzazi	are these from X-ray?																					
VZ:MORightLungCavitation	Medical Officer Right Lung Cavitation		Vukuzazi	are these from X-ray?																					
VZ:MORightLungNodules	Medical Officer Right Lung Nodules		Vukuzazi	are these from X-ray?																					
VZ:MORightLungMass	Medical Officer Right Lung Mass		Vukuzazi	are these from X-ray?																					
VZ:MORightLungReticular	Medical Officer Right Lung ReticularOpacities		Vukuzazi	are these from X-ray?																					
VZ:MORightLungFibrosis	Medical Officer Right Lung Fibrosis		Vukuzazi	are these from X-ray?																					
VZ:MORightLungCalcification	Medical Officer Right Lung Calcification		Vukuzazi	are these from X-ray?																					
VZ:MORightLungPleuralThick	Medical Officer Right Lung Pleural Thickening		Vukuzazi	are these from X-ray?																					
VZ:MORightLungPleuralEffusion	Medical Officer Right Lung Pleural Effusion		Vukuzazi	are these from X-ray?																					
VZ:MORightLungNodeEnlarge	Medical Officer Right Lung Node Enlargement		Vukuzazi	are these from X-ray?																					
VZ:MORightLungOther	Medical Officer Right Lung Other		Vukuzazi	are these from X-ray?																					
VZ:MOActiveTB	Medical Officer Diagnostic ActiveTB		diagnosis of tuberculosis																						
VZ:MOOldTB	Medical Officer Diagnostic OldTB		diagnosis of tuberculosis																						
VZ:MOProbableTB	Medical Officer Diagnostic ProbableTB		diagnosis of tuberculosis																						
VZ:MOOtherInfection	Medical Officer Diagnostic Other Infection		diagnosis of bacterial infection																						
VZ:MOInflammatoryDisorder	Medical Officer Diagnostic Inflammatory Disorder		diagnosis of inflammatory disorder																						
VZ:MONeoplasm	Medical Officer Diagnostic Neoplasm		oncological 	may not be cancer though																					
VZ:MOTrauma	Medical Officer Diagnostic Trauma		Vukuzazi	where does trauma fall under?																					
VZ:MOCongenitalAbnormality	Medical Officer Diagnostic CongenitalAbnormality		Vukuzazi	where does cong abnormality fall under? diseases?																					
VZ:MOCardiacDisorder	Medical Officer Diagnostic CardiacDisorder		circulatory system																						
VZ:MOVascularDisorder	Medical Officer Diagnostic VascularDisorder		circulatory system																						
