"Short ID","Label","Value"
"VZ:PAX1","PAX1","1 = Non Categorical Variable"
"VZ:Ssp1","Ssp1","1 = Non Categorical Variable"
"VZ:SSPBottle","SSPBottle","1 = Non Categorical Variable"
"VZ:SwabSample1CollectedId","Swab Sample1 Collected Id","1 = Non Categorical Variable"
"VZ:SwabSample2CollectedId","Swab Sample2 Collected Id","1 = Non Categorical Variable"
"VZ:UrineSampleCollectedId","Urine Sample Collected Id","1 = Non Categorical Variable"
"VZ:UrineSampleCollectedId","Urine Sample Collected Id","1 = Non Categorical Variable"
"VZ:PregTestDeviceId","pregnancy Test Device Id","1 = Non Categorical Variable"
"VZ:CxrRadiologistConclusion","Chest X Ray Radiologist Conclusion","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:MOLungField","Medical Officer LungFields","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadiologistLungField","Radiologist LungFields","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:UrineRefusal","Refused Urine Sample COllection","1 = Refused Urine Test
 2 = Not Refused Urine Test
 3 = Visibly Pregnant"
"VZ:HeightCm","Height in Cm","1 = Non Categorical Variable"
"VZ:WeightKg","Weight in Kg","1 = Non Categorical Variable"
"VZ:WaistCircumferenceCm","Waist Circumference in Cm","1 = Non Categorical Variable"
"VZ:BPCuffSize","BP Cuff Size","1 = Normal
 2 = Extra Size"
"VZ:BPFirstSystolic","BP First Systolic","1 = Non Categorical Variable"
"VZ:BPFirstDiastolic","BP First Diastolic","1 = Non Categorical Variable"
"VZ:BPSecondSystolic","BP Second Systolic","1 = Non Categorical Variable"
"VZ:BPSecondDiastolic","BP Second Diastolic","1 = Non Categorical Variable"
"VZ:BPThirdSystolic","BP Third Systolic","1 = Non Categorical Variable"
"VZ:BPThirdDiastolic","BP Third Diastolic","1 = Non Categorical Variable"
"VZ:BPForthSystolic","BP Forth Systolic","1 = Non Categorical Variable"
"VZ:BPForthDiastolic","BP Forth Diastolic","1 = Non Categorical Variable"
"VZ:LowestBpSystolic","BP Lowest Systolic","1 = Non Categorical Variable"
"VZ:LowestBpDiastolic","BP Lowest Diastolic","1 = Non Categorical Variable"
"VZ:HipCircumference","Hip Circumference","1 = Non Categorical Variable"
"VZ:ArmCircumference","Arm Circumference","1 = Non Categorical Variable"
"VZ:HeartRateFirstReading","Heart Rate First Reading","1 = Non Categorical Variable"
"VZ:HeartRateSecondReading","Heart Rate Second Reading","1 = Non Categorical Variable"
"VZ:HeartRateThirdReading","Heart RateThird Reading","1 = Non Categorical Variable"
"VZ:HeartRateForthReading","Heart Rate Forth Reading","1 = Non Categorical Variable"
"VZ:Pregnant","Pregnant","1 = Pregnant
 2 = Non Pregnant
 3 = Pregnancy Status Unknown"
"VZ:ActiveTB","CXR proposed diagnostic-ActiveTB","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:OldTB","CXR proposed diagnostic-OldTB","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:ProbableTB","CXR proposed diagnostic-ProbableTB","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:OtherInfection","CXR proposed diagnostic-OtherInfection","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:InflammatoryDisorder","CXR proposed diagnostic-InflammatoryDisorder","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:Neoplasm","CXR proposed diagnostic-Neoplasm","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:Trauma","CXR proposed diagnostic-Trauma","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:CongenitalAbnormality","CXR proposed diagnostic-CongenitalAbnormality","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:CardiacDisorder","CXR proposed diagnostic-CardiacDisorder","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:VascularDisorder","CXR proposed diagnostic-VascularDisorder","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:DegenerativeDisorder","CXR proposed diagnostic-DegenerativeDisorder","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:LeftLung","CXR pattern Left lung field & pleura","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:RightLung","CXR pattern Right lung field & pleura","1 = Chest X Ray Normal
 4 = No SMS"
"VZ:TBDiagnosticOther","TB Diagnostic Other","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:MOTBDiagnosticOther","Medical Officer Diagnostic TB Diagnostic Other","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungNormal","Radiologist Left Lung Normal","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungConsolid","Radiologist Left Lung Consolidation","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungCavitation","Radiologist Left Lung Cavitation","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungNodules","Radiologist Left Lung Nodules","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungMass","Radiologist Left Lung Mass","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungReticular","Radiologist Left Lung ReticularOpacities","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungFibrosis","Radiologist Left Lung Fibrosis","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungCalcification","Radiologist Left Lung Calcification","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungPleuralThick","Radiologist Left Lung Pleural Thickening","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungPleuralEffusion","Radiologist Left Lung PleuralEffusion","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungNodeEnlarge","Radiologist Left Lung Node Enlargement","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadLeftLungOther","Radiologist Left Lung Other","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungNormal","Radiologist Right Lung Normal","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungConsolid","Radiologist Right Lung Consolidation","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungCavitation","Radiologist Right Lung Cavitation","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungNodules","Radiologist Right Lung Nodules","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungMass","Radiologist Right Lung Mass","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungReticular","Radiologist Right Lung ReticularOpacities","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungFibrosis","Radiologist Right Lung Fibrosis","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungCalcification","Radiologist Right Lung Calcification","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungPleuralThick","Radiologist Right Lung Pleural Thickening","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungPleuralEffusion","Radiologist Right Lung Pleural Effusion","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungNodeEnlarge","Radiologist Right Lung Node Enlargement","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadRightLungOther","Radiologist Right Lung Other","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:WillingSurveyedAttempt1","Willing Surveyed Attempt 1","1 = Normal Lung Fields
 2 = Abnormal Lung Fields"
"VZ:RadActiveTB","Radiologist Diagnostic ActiveTB","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadOldTB","Radiologist Diagnostic OldTB","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadProbableTB","Radiologist Diagnostic ProbableTB","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadOtherInfection","Radiologist Diagnostic Other Infection","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadInflammatoryDisorder","Radiologist Diagnostic Inflammatory Disorder","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadNeoplasm","Radiologistr Diagnostic Neoplasm","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadTrauma","Radiologist Diagnostic Trauma","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadCongenitalAbnormality","Radiologist Diagnostic CongenitalAbnormality","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadCardiacDisorder","Radiologist Diagnostic CardiacDisorder","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadVascularDisorder","Radiologist Diagnostic VascularDisorder","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadDegenerativeDisorder","Radiologist Diagnostic Degenerative Disorder","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:RadTBDiagnosticOther","Radiologist TB Diagnostic Other","1 = TB Normal
 2 = Abnormality Detected But Not Significant
 3 = Abnormality Detected, Significant And No Active Disease
 4 = Abnormality Detected, Significant and Not Tuberculosis
 5 = Abnormality Detected, Significant And Tuberculosis
 6 = Abnormality Detected, Significant And Unclassified"
"VZ:LabResultDate","Lab Result Date","1 = Yes
 2 = No
 3 = Unknown"
"VZ:AbnormalResult","Is Result Abnormal?","1 = Yes
 2 = No
 3 = Unknown"
"VZ:ClinicalReview","Needs Clinical Review?","1 = Yes
 2 = No
 3 = Unknown"
"VZ:CD4LymphPercent","CD4 Lymphocytes %","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:CD4LymphAb","CD4 Lymphocytes Abs","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:CD4CD8Ratio","CD4/CD8 Ratio","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:CD8LymphPercent","CD8 Lymphocytes %","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:CD8LymphAb","CD8 Lymphocytes Abs","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:HBA1c","HBA1c","1 = Southern PIPSA
 2 = Northern PIPSA"
"VZ:HBA1CPercent","HBA1C%","1 = Southern PIPSA
 2 = Northern PIPSA"
"VZ:Glucose","Glucose Average (calculated)","1 = Southern PIPSA
 2 = Northern PIPSA"
"VZ:Rifampicin","Rifampicin Resistance","0 = Rifampicin Resistance Not Detected
 1 = Rifampicin Resistance Detected
 2 = Indeterminate
 7 = Not Applicable"
"VZ:GeneXpert","TB GeneXpert Test Result","1 = MTB Not Detected
 2 = MTB Detected Very Low 
 3 = MTB Detected Low
 4 = MTB Detected Medium
 5 = MTB Detected High
 6 = MTB Detected
 7 = MTB Trace Detected"
"VZ:LiquidCulture","Liquid Culture Result(MGIT)","1 = Negative MTB Not Isolated
 2 = Positive MTB Only(Mycobacterium Tuberculosis isolated)
 3 = Positive NTM Only
 4 = Culture Contaminated
 5 = Positive MTB And Contaminated(Mycobacterium Tuberculosis isolated)
 6 = Positive NTM And contaminated
 7 = Positive MTB And Positive NTM(Mycobacterium Tuberculosis isolated)"
"VZ:SolidCulture","Solid Culture Result(7H11)","1 = Negative MTB Not Isolated
 2 = Positive MTB Only(Mycobacterium Tuberculosis isolated)
 3 = Positive NTM Only
 4 = Culture Contaminated
 5 = Positive MTB And Contaminated(Mycobacterium Tuberculosis isolated)
 6 = Positive NTM And contaminated
 7 = Positive MTB And Positive NTM(Mycobacterium Tuberculosis isolated)"
"VZ:SolidIncub","Solid Culture Incubation","1 = Negative MTB Not Isolated
 2 = Positive MTB Only(Mycobacterium Tuberculosis isolated)
 3 = Positive NTM Only
 4 = Culture Contaminated
 5 = Positive MTB And Contaminated(Mycobacterium Tuberculosis isolated)
 6 = Positive NTM And contaminated
 7 = Positive MTB And Positive NTM(Mycobacterium Tuberculosis isolated)"
"VZ:HIVElisa","HIV Elisa Result","1 = HIV Elisa Positive
 2 = HIV Elisa Negative"
"VZ:VL","HIV Viral Load Result","1 = VL Less than 40 Copies/mL
 2 = VL Not Detected"
"VZ:MOLeftLungNormal","Medical Officer Left Lung Normal","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungConsolid","Medical Officer Left Lung Consolidation","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungCavitation","Medical Officer Left Lung Cavitation","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungNodules","Medical Officer Left Lung Nodules","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungMass","Medical Officer Left Lung Mass","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungReticular","Medical Officer Left Lung Reticular Opacities","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungFibrosis","Medical Officer Left Lung Fibrosis","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungCalcification","Medical Officer Left Lung calcification","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungPleuralThick","Medical Officer Left Lung Pleural Thickening","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungPleuralEffusion","Medical Officer Left Lung Pleural Effusion","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungNodeEnlarge","Medical Officer Left Lung Node Enlargement","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOLeftLungOther","Medical Officer Left Lung Other","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungNormal","Medical Officer Right Lung Normal","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungConsolid","Medical Officer Right Lung Consolidation","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungCavitation","Medical Officer Right Lung Cavitation","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungNodules","Medical Officer Right Lung Nodules","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungMass","Medical Officer Right Lung Mass","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungReticular","Medical Officer Right Lung ReticularOpacities","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungFibrosis","Medical Officer Right Lung Fibrosis","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungCalcification","Medical Officer Right Lung Calcification","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungPleuralThick","Medical Officer Right Lung Pleural Thickening","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungPleuralEffusion","Medical Officer Right Lung Pleural Effusion","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungNodeEnlarge","Medical Officer Right Lung Node Enlargement","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MORightLungOther","Medical Officer Right Lung Other","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOActiveTB","Medical Officer Diagnostic ActiveTB","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOOldTB","Medical Officer Diagnostic OldTB","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOProbableTB","Medical Officer Diagnostic ProbableTB","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOOtherInfection","Medical Officer Diagnostic Other Infection","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOInflammatoryDisorder","Medical Officer Diagnostic Inflammatory Disorder","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MONeoplasm","Medical Officer Diagnostic Neoplasm","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOTrauma","Medical Officer Diagnostic Trauma","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOCongenitalAbnormality","Medical Officer Diagnostic CongenitalAbnormality","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOCardiacDisorder","Medical Officer Diagnostic CardiacDisorder","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
"VZ:MOVascularDisorder","Medical Officer Diagnostic VascularDisorder","1 = Normal - No Clinical Follow Up
 2 = Abnormal – Consistent with Tuberculosis
 3 = Abnormal – Not Consistent with Tuberculosis
 4 = Abnormal – Not Consistent with Tuberculosis Clinic Referral"
