Term ID	Label	Parent Term	Defintion	GECKO Category	Internal ID	Suggested Categories	Comment
CHOP:0000201	PNC_DEP031		Depression: How long was the longest time you felt (sad, grouchy/, like nothing was fun)?  (Weeks)	mental and behaviour disorders|cognitive functioning	DEP031		Encoded Value
CHOP:0000202	PNC_DEP032		Depression: How long was the longest time you felt (sad, grouchy/, like nothing was fun)?  (Months)	mental and behaviour disorders|cognitive functioning	DEP032		Encoded Value
CHOP:0000203	PNC_DEP033		Depression: How long was the longest time you felt (sad, grouchy/, like nothing was fun)?  (Years)	mental and behaviour disorders|cognitive functioning	DEP033		Encoded Value
CHOP:0000204	PNC_DEP034		Depression: How long was the shortest time you felt this way?  (Days)	mental and behaviour disorders|cognitive functioning	DEP034		Encoded Value
CHOP:0000205	PNC_DEP035		Depression: How long was the shortest time you felt this way? (Weeks)	mental and behaviour disorders|cognitive functioning	DEP035		Encoded Value
CHOP:0000206	PNC_DEP036		Depression: How long was the shortest time you felt this way? (Months)	mental and behaviour disorders|cognitive functioning	DEP036		Encoded Value
CHOP:0000207	PNC_DEP037		Depression: How long was the shortest time you felt this way? (Years)	mental and behaviour disorders|cognitive functioning	DEP037		Encoded Value
CHOP:0000208	PNC_DEP038		Depression: How long do the (sad, depression, grouchy, like nothing was fun) feelings usually last?  (Days)	mental and behaviour disorders|cognitive functioning	DEP038		Encoded Value
CHOP:0000209	PNC_DEP039		Depression: How long do the (sad, depression, grouchy, like nothing was fun) feelings usually last?  (Weeks)	mental and behaviour disorders|cognitive functioning	DEP039		Encoded Value
CHOP:0000210	PNC_DEP040		Depression: How long do the (sad, depression, grouchy, like nothing was fun) feelings usually last?  (Months)	mental and behaviour disorders|cognitive functioning	DEP040		Encoded Value
CHOP:0000211	PNC_DEP041		Depression: How long do the (sad, depression, grouchy, like nothing was fun) feelings usually last?  (Years)	mental and behaviour disorders|cognitive functioning	DEP041		Encoded Value
CHOP:0000212	PNC_DEP042		Depression: Have these sad feelings lasted most of the time for as long as one year?	mental and behaviour disorders|cognitive functioning	DEP042		Encoded Value
CHOP:0000213	PNC_DEP043		Depression: Would you say that you have been (sad, depressed, grouchy, like nothing was fun) more often than not during your lifetime?	mental and behaviour disorders|cognitive functioning	DEP043		Encoded Value
CHOP:0000214	PNC_DEP044		Depression: Did you feel (sad/ grouchy/ like nothing was fun) at certain times of the year, like in the winter, spring, summer, or fall 	mental and behaviour disorders|cognitive functioning	DEP044		Encoded Value
CHOP:0000215	PNC_DEP050		Depression: INTERVIEWER: Is there more than one episode?If No, SKIP to next section.	mental and behaviour disorders|cognitive functioning	DEP050		Encoded Value
CHOP:0000216	PNC_EAT001		Eating Disorder: Was there ever a time when you felt really fat or heavy, but other people said that you were too thin?  	mental and behaviour disorders|cognitive functioning	EAT001		Encoded Value
CHOP:0000217	PNC_EAT002		Eating Disorder: At that time, did you lose a lot of weight on purpose (like you were trying to do so)?	mental and behaviour disorders|cognitive functioning	EAT002		Encoded Value
CHOP:0000218	PNC_EAT003		Eating Disorder: Were you still very much afraid that you could become fat, even after you'd lost a lot of weight?	mental and behaviour disorders|cognitive functioning	EAT003		Encoded Value
CHOP:0000219	PNC_EAT004		Eating Disorder: (If Female) Have you begun to have menstrual periods?	mental and behaviour disorders|cognitive functioning	EAT004		Encoded Value
CHOP:0000220	PNC_EAT005		Eating Disorder: (If Yes) Have you ever had regular menstrual periods, meaning every month for at least six months?	mental and behaviour disorders|cognitive functioning	EAT005		Encoded Value
CHOP:0000221	PNC_EAT006		Eating Disorder: (If Yes) Did your periods ever stop for at least 3 cycles in a row?	mental and behaviour disorders|cognitive functioning	EAT006		Encoded Value
CHOP:0000222	PNC_EAT007		Eating Disorder: Has there been a time when your eating was out of control - you'd eat a large amount of food in a short period of time and could not stop yourself?  	mental and behaviour disorders|cognitive functioning	EAT007		Encoded Value
CHOP:0000223	PNC_EAT008		Eating Disorder: At that time, did you ever do anything to stop yourself from gaining weight like taking pills or making yourself throw up?	mental and behaviour disorders|cognitive functioning	EAT008		Encoded Value
CHOP:0000224	PNC_EAT009		Eating Disorder: You told me you (insert endorsed thoughts/behaviors). How much did these behaviors upset or bother you?	mental and behaviour disorders|cognitive functioning	EAT009		Encoded Value
CHOP:0000225	PNC_EAT010		Eating Disorder: I want to know how much the behaviors you told me about have caused problems for you at home, at school or work, or with your family or friends.	mental and behaviour disorders|cognitive functioning	EAT010		Encoded Value
CHOP:0000226	PNC_EAT011		Eating Disorder: Did you stay home from school or work because of these behaviors?	mental and behaviour disorders|cognitive functioning	EAT011		Encoded Value
CHOP:0000227	PNC_EAT012		Eating Disorder: How many days of school/work did you miss? (lifetime)	mental and behaviour disorders|cognitive functioning	EAT012		Encoded Value
CHOP:0000228	PNC_EAT013		Eating Disorder: How old were you the first time you had concerns about these behaviors? (Age)	mental and behaviour disorders|cognitive functioning	EAT013		Encoded Value
CHOP:0000229	PNC_EAT013a		Eating Disorder: How old were you the first time you had these concerns about these behaviors? (Always)	mental and behaviour disorders|cognitive functioning	EAT013a		Encoded Value
CHOP:0000230	PNC_EAT014		Eating Disorder: Do you have these concerns now?	mental and behaviour disorders|cognitive functioning	EAT014		Encoded Value
CHOP:0000231	PNC_EAT015		Eating Disorder: How old were you the last time you had these concerns?	mental and behaviour disorders|cognitive functioning	EAT015		Encoded Value
CHOP:0000232	PNC_GAD001		Generalized Anxiety Disorder: Have you ever been a worrier?	mental and behaviour disorders|cognitive functioning	GAD001		Encoded Value
CHOP:0000233	PNC_GAD002		Generalized Anxiety Disorder: Did you worry a lot more than most children/people your age?	mental and behaviour disorders|cognitive functioning	GAD002		Encoded Value
CHOP:0000234	PNC_GAD003a		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Your performance in school and/or sports	mental and behaviour disorders|cognitive functioning	GAD003a		Encoded Value
CHOP:0000235	PNC_GAD003b		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Being on time	mental and behaviour disorders|cognitive functioning	GAD003b		Encoded Value
CHOP:0000236	PNC_GAD003c		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Never making mistakes	mental and behaviour disorders|cognitive functioning	GAD003c		Encoded Value
CHOP:0000237	PNC_GAD003d		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Your own health or the health of significant others	mental and behaviour disorders|cognitive functioning	GAD003d		Encoded Value
CHOP:0000238	PNC_GAD003e		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Family situations (for example, divorce, finances)	mental and behaviour disorders|cognitive functioning	GAD003e		Encoded Value
CHOP:0000239	PNC_GAD003f		Generalized Anxiety Disorder: Please look at this list and tell me if you worry a lot about: Things going on in the world (for example, war, terrorism, crime)?	mental and behaviour disorders|cognitive functioning	GAD003f		Encoded Value
CHOP:0000240	PNC_GAD011		Generalized Anxiety Disorder: When you worried the most, did you worry a lot about things either before they happened (for example, starting school in the fall, taking a test, going to see a doctor) or after they happened (for example, how well you behaved or whether you did/said the right thing)? 	mental and behaviour disorders|cognitive functioning	GAD011		Encoded Value
CHOP:0000241	PNC_GAD011a		Generalized Anxiety Disorder: When you worried the most, did you worry a lot about things before they happened (for example, starting school in the fall, taking a test, going to see a doctor)?	mental and behaviour disorders|cognitive functioning	GAD011a		Encoded Value
CHOP:0000242	PNC_GAD011b		Generalized Anxiety Disorder: When you worried the most, did you worry a lot about things after they happened (for example, how well you behaved or whether you did/said the right thing)?	mental and behaviour disorders|cognitive functioning	GAD011b		Encoded Value
CHOP:0000243	PNC_GAD012		Generalized Anxiety Disorder: (If GAD011 =yes) Was it hard for you to stop yourself from worrying about these things (endorsed in before/after q's)?	mental and behaviour disorders|cognitive functioning	GAD012		Encoded Value
CHOP:0000244	PNC_GAD013		Generalized Anxiety Disorder: Has anyone said that you are a worrier or that you worry too much?	mental and behaviour disorders|cognitive functioning	GAD013		Encoded Value
CHOP:0000245	PNC_GAD015		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: restlessness?	mental and behaviour disorders|cognitive functioning	GAD015		Encoded Value
CHOP:0000246	PNC_GAD016		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: fatigue (feeling tired)?	mental and behaviour disorders|cognitive functioning	GAD016		Encoded Value
CHOP:0000247	PNC_GAD017		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: concentration problems (trouble focusing or paying attention)?	mental and behaviour disorders|cognitive functioning	GAD017		Encoded Value
CHOP:0000248	PNC_GAD018		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: irritability (feeling easily annoyed)?	mental and behaviour disorders|cognitive functioning	GAD018		Encoded Value
CHOP:0000249	PNC_GAD019		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: muscle tension (feeling tense or tight muscles)?	mental and behaviour disorders|cognitive functioning	GAD019		Encoded Value
CHOP:0000250	PNC_GAD020		Generalized Anxiety Disorder: Did you feel any of the following physical symptoms when you worried the most: sleep disturbance (trouble sleeping)?	mental and behaviour disorders|cognitive functioning	GAD020		Encoded Value
CHOP:0000251	PNC_GAD021		Generalized Anxiety Disorder: Did you worry on more days than you didn't?	mental and behaviour disorders|cognitive functioning	GAD021		Encoded Value
CHOP:0000252	PNC_GAD022		Generalized Anxiety Disorder: What was the longest period of time that your worrying AND (insert endorsed physical symptoms) lasted? (Days)	mental and behaviour disorders|cognitive functioning	GAD022		Encoded Value
CHOP:0000253	PNC_GAD023		Generalized Anxiety Disorder: What was the longest period of time that your worrying AND (insert endorsed physical symptoms) lasted? (Weeks)	mental and behaviour disorders|cognitive functioning	GAD023		Encoded Value
CHOP:0000254	PNC_GAD024		Generalized Anxiety Disorder: What was the longest period of time that your worrying AND (insert endorsed physical symptoms) lasted? (Months)	mental and behaviour disorders|cognitive functioning	GAD024		Encoded Value
CHOP:0000255	PNC_GAD025		Generalized Anxiety Disorder: What was the longest period of time that your worrying AND (insert endorsed physical symptoms) lasted? (Years)	mental and behaviour disorders|cognitive functioning	GAD025		Encoded Value
CHOP:0000256	PNC_GAD039		Generalized Anxiety Disorder: You told me that you (list endorsed worries). How much did having these worries upset or bother you?	mental and behaviour disorders|cognitive functioning	GAD039		Encoded Value
CHOP:0000257	PNC_GAD040		Generalized Anxiety Disorder: How much have the worries you have told me about caused problems for you at home, at school or work, or with your family or friends?	mental and behaviour disorders|cognitive functioning	GAD040		Encoded Value
CHOP:0000258	PNC_GAD041		Generalized Anxiety Disorder: Did you stay home from school or work because of your worry?	mental and behaviour disorders|cognitive functioning	GAD041		Encoded Value
CHOP:0000259	PNC_GAD042		Generalized Anxiety Disorder: How many days of school or work did you miss? (lifetime)	mental and behaviour disorders|cognitive functioning	GAD042		Encoded Value
CHOP:0000260	PNC_GAD043		Generalized Anxiety Disorder: How old were you the first time you had these worries? (Age)	mental and behaviour disorders|cognitive functioning	GAD043		Encoded Value
CHOP:0000261	PNC_GAD043a		Generalized Anxiety Disorder: How old were you the first time you had these worries? (Always)	mental and behaviour disorders|cognitive functioning	GAD043a		Encoded Value
CHOP:0000262	PNC_GAD044		Generalized Anxiety Disorder: Do you have these worries now?	mental and behaviour disorders|cognitive functioning	GAD044		Encoded Value
CHOP:0000263	PNC_GAD045		Generalized Anxiety Disorder: How old were you the last time you had these worries?	mental and behaviour disorders|cognitive functioning	GAD045		Encoded Value
CHOP:0000264	PNC_GAD060		Generalized Anxiety Disorder: Has there ever been a time when you felt nervous or scared a lot of the time?	mental and behaviour disorders|cognitive functioning	GAD060		Encoded Value
CHOP:0000265	PNC_GAF001		Global Assessment of Functioning: Ratings Current	cognitive functioning	GAF001		Encoded Value
CHOP:0000266	PNC_GAF002		Global Assessment of Functioning: Ratings Most severe past	cognitive functioning	GAF002		Encoded Value
CHOP:0000267	PNC_GAF003		Global Assessment of Functioning: Ratings Lifetime	cognitive functioning	GAF003		Encoded Value
CHOP:0000268	PNC_MAN001		Mania/ Hypomania: Have there been times when you were much more active, excited or energetic than usual, had problems sitting still, or needed to move around a lot?	mental and behaviour disorders|cognitive functioning	MAN001		Encoded Value
CHOP:0000269	PNC_MAN002		Mania/ Hypomania: Has there ever been a time when you felt so full of energy that you couldn't stop doing things and didn't get tired?	mental and behaviour disorders|cognitive functioning	MAN002		Encoded Value
CHOP:0000270	PNC_MAN003		Mania/ Hypomania: Has there ever been a time when you felt like you hardly needed sleep?	mental and behaviour disorders|cognitive functioning	MAN003		Encoded Value
CHOP:0000271	PNC_MAN004		Mania/ Hypomania: Have there been times when you kept talking a lot, couldn't stop talking, talked faster than usual, had thoughts faster than usual, or had so many ideas in your head that you could hardly keep track of them?	mental and behaviour disorders|cognitive functioning	MAN004		Encoded Value
CHOP:0000272	PNC_MAN005		Mania/ Hypomania: Have you ever had a time when you felt much more happy or excited than you usually do when there was nothing special going on?	mental and behaviour disorders|cognitive functioning	MAN005		Encoded Value
CHOP:0000273	PNC_MAN006		Mania/ Hypomania: Have you ever had a time when you felt like you could do almost anything?	mental and behaviour disorders|cognitive functioning	MAN006		Encoded Value
CHOP:0000274	PNC_MAN007		Mania/ Hypomania: Has there ever been a time when you felt unusually grouchy, cranky, or irritable; when the smallest things would make you really mad?	mental and behaviour disorders|cognitive functioning	MAN007		Encoded Value
CHOP:0000275	PNC_MAN008		Mania/ Hypomania: Did other people, like parents or teachers, notice this change or worry about you? 	mental and behaviour disorders|cognitive functioning	MAN008		Encoded Value
CHOP:0000276	PNC_MAN009		Mania/ Hypomania: Was this different from how you usually are?	mental and behaviour disorders|cognitive functioning	MAN009		Encoded Value
CHOP:0000277	PNC_MAN010		Mania/ Hypomania: If yes, During that time/those times, how often did you feel that way?	mental and behaviour disorders|cognitive functioning	MAN010		Encoded Value
CHOP:0000278	PNC_MAN011		Mania/ Hypomania: If yes, On the days you felt this way, how much of the day did it last?	mental and behaviour disorders|cognitive functioning	MAN011		Encoded Value
CHOP:0000279	PNC_MAN012		Mania/ Hypomania: How many times a year?	mental and behaviour disorders|cognitive functioning	MAN012		Encoded Value
CHOP:0000280	PNC_MAN020		Mania/ Hypomania: When did you feel the most (too happy/excited/grouchy/energetic)?	mental and behaviour disorders|cognitive functioning	MAN020		Encoded Value
CHOP:0000281	PNC_MAN021		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you get through school work much more easily or faster than usual?	mental and behaviour disorders|cognitive functioning	MAN021		Encoded Value
CHOP:0000282	PNC_MAN022		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you talk on the phone a lot more?	mental and behaviour disorders|cognitive functioning	MAN022		Encoded Value
CHOP:0000283	PNC_MAN023		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you spend more time with your friends?	mental and behaviour disorders|cognitive functioning	MAN023		Encoded Value
CHOP:0000284	PNC_MAN024		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you go out more?	mental and behaviour disorders|cognitive functioning	MAN024		Encoded Value
CHOP:0000285	PNC_MAN025		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you do more physical activities, like exercising or playing sports?	mental and behaviour disorders|cognitive functioning	MAN025		Encoded Value
CHOP:0000286	PNC_MAN026		Mania/ Hypomania: During this time when you felt the most (too happy/excited/grouchy/energetic) did you become more interested in sex or more sexually active?	mental and behaviour disorders|cognitive functioning	MAN026		Encoded Value
CHOP:0000287	PNC_MAN030		Mania/ Hypomania: How much did your feeling (too happy/excited/grouchy/energetic) upset or bother you?	mental and behaviour disorders|cognitive functioning	MAN030		Encoded Value
CHOP:0000288	PNC_MAN040		Mania/ Hypomania: How much did the feeling (too happy/excited/grouchy/energetic) you told me about cause problems for you at home, at school or work, or with your family or friends?	mental and behaviour disorders|cognitive functioning	MAN040		Encoded Value
CHOP:0000289	PNC_MAN041		Mania/ Hypomania: Did you stay home from school or work because of the way you were feeling?	mental and behaviour disorders|cognitive functioning	MAN041		Encoded Value
CHOP:0000290	PNC_MAN042		Mania/ Hypomania: How many days of school or work did you miss? (episode)	mental and behaviour disorders|cognitive functioning	MAN042		Encoded Value
CHOP:0000291	PNC_MAN043		Mania/ Hypomania: Have there been other times when you felt (list symptoms)?	mental and behaviour disorders|cognitive functioning	MAN043		Encoded Value
CHOP:0000292	PNC_MAN044		Mania/ Hypomania: How old were you when this happened for the very first time?	mental and behaviour disorders|cognitive functioning	MAN044		Encoded Value
CHOP:0000293	PNC_MAN045		Mania/ Hypomania: How long did it last then? (Days)	mental and behaviour disorders|cognitive functioning	MAN045		Encoded Value
CHOP:0000294	PNC_MAN046		Mania/ Hypomania: How long did it last then? (Weeks)	mental and behaviour disorders|cognitive functioning	MAN046		Encoded Value
CHOP:0000295	PNC_MAN047		Mania/ Hypomania: How long did it last then? (Months)	mental and behaviour disorders|cognitive functioning	MAN047		Encoded Value
CHOP:0000296	PNC_MAN048		Mania/ Hypomania: How long did it last then? (Years)	mental and behaviour disorders|cognitive functioning	MAN048		Encoded Value
CHOP:0000297	PNC_MAN049		Mania/ Hypomania: How many times have you felt this way in your lifetime?	mental and behaviour disorders|cognitive functioning	MAN049		Encoded Value
CHOP:0000298	PNC_MAN050		Mania/ Hypomania: What is the most number of episodes you've had in one year?	mental and behaviour disorders|cognitive functioning	MAN050		Encoded Value
CHOP:0000299	PNC_MAN051		Mania/ Hypomania: How long on average did each of these episodes typically last during that year? (Days)	mental and behaviour disorders|cognitive functioning	MAN051		Encoded Value
CHOP:0000300	PNC_MAN052		Mania/ Hypomania: How long on average did each of these episodes typically last during that year? (Weeks)	mental and behaviour disorders|cognitive functioning	MAN052		Encoded Value
CHOP:0000301	PNC_MAN053		Mania/ Hypomania: How long on average did each of these episodes typically last during that year? (Months)	mental and behaviour disorders|cognitive functioning	MAN053		Encoded Value
CHOP:0000302	PNC_MAN054		Mania/ Hypomania:How long on average did each of these episodes typically last during that year? (Years)	mental and behaviour disorders|cognitive functioning	MAN054		Encoded Value
CHOP:0000303	PNC_MAN055		Mania/ Hypomania: How long was the longest episode? (Days)	mental and behaviour disorders|cognitive functioning	MAN055		Encoded Value
CHOP:0000304	PNC_MAN056		Mania/ Hypomania: How long was the longest episode? (Weeks)	mental and behaviour disorders|cognitive functioning	MAN056		Encoded Value
CHOP:0000305	PNC_MAN057		Mania/ Hypomania: How long was the longest episode? (Months)	mental and behaviour disorders|cognitive functioning	MAN057		Encoded Value
CHOP:0000306	PNC_MAN058		Mania/ Hypomania: How long was the longest episode? (Years)	mental and behaviour disorders|cognitive functioning	MAN058		Encoded Value
CHOP:0000307	PNC_MAN059		Mania/ Hypomania: Would you say that you have felt this (list participant's endorsed symptoms) more often than not during your lifetime?	mental and behaviour disorders|cognitive functioning	MAN059		Encoded Value
CHOP:0000308	PNC_MAN070		Mania/ Hypomania: How long was the shortest episode?  (Days)	mental and behaviour disorders|cognitive functioning	MAN070		Encoded Value
CHOP:0000309	PNC_MAN071		Mania/ Hypomania: How long was the shortest episode? (Weeks)	mental and behaviour disorders|cognitive functioning	MAN071		Encoded Value
CHOP:0000310	PNC_MAN072		Mania/ Hypomania: How long was the shortest episode? (Months)	mental and behaviour disorders|cognitive functioning	MAN072		Encoded Value
CHOP:0000311	PNC_MAN073		Mania/ Hypomania: How long was the shortest episode? (Years)	mental and behaviour disorders|cognitive functioning	MAN073		Encoded Value
CHOP:0000312	PNC_MAN074		Mania/ Hypomania: How long does a typical episode last? (Days)	mental and behaviour disorders|cognitive functioning	MAN074		Encoded Value
CHOP:0000313	PNC_MAN075		Mania/ Hypomania: How long does a typical episode last? (Weeks)	mental and behaviour disorders|cognitive functioning	MAN075		Encoded Value
CHOP:0000314	PNC_MAN076		Mania/ Hypomania: How long does a typical episode last? (Months)	mental and behaviour disorders|cognitive functioning	MAN076		Encoded Value
CHOP:0000315	PNC_MAN077		Mania/ Hypomania: How long does a typical episode last? (Years)	mental and behaviour disorders|cognitive functioning	MAN077		Encoded Value
CHOP:0000316	PNC_MAN080		Mania/ Hypomania: Did the periods of these feelings tend to begin in any particular season? 	mental and behaviour disorders|cognitive functioning	MAN080		Integer
CHOP:0000317	PNC_MED001		Medical: Height: ft.	height	MED001		Integer
CHOP:0000318	PNC_MED002		Medical: Height: in.	height	MED002		Integer
CHOP:0000319	PNC_MED003		Medical: Weight: lb.	weight	MED003		Encoded Value
CHOP:0000320	PNC_MED070		Childhood: Was your birth (that is, while your mom was carrying you, or the time of your delivery) abnormal in any way? This includes premature or overdue births.	life stage/time point	MED070		Encoded Value
CHOP:0000321	PNC_MED072		Childhood: Was any part of your development abnormal in any way? For example, did you walk or talk later than other children?	life stage/time point	MED072		Encoded Value
CHOP:0000322	PNC_MED074		Migraine & Recurrent Headaches: Have you ever had headaches?  	signs and symptoms	MED074		Encoded Value
CHOP:0000323	PNC_MED075		Migraine & Recurrent Headaches: Did these headaches occur only while you were sick or right after an illness?	signs and symptoms	MED075		Encoded Value
CHOP:0000324	PNC_MED076		Migraine & Recurrent Headaches: During headaches, does light or noise bother you a lot more than when you don't have a headache?	signs and symptoms	MED076		Encoded Value
CHOP:0000325	PNC_MED077		Migraine & Recurrent Headaches: During headaches, do you feel sick to your stomach?	signs and symptoms	MED077		Encoded Value
CHOP:0000326	PNC_MED078		Migraine & Recurrent Headaches: Is the headache pain ever on only one side of your head? 	signs and symptoms	MED078		Encoded Value
CHOP:0000327	PNC_MED079		Migraine & Recurrent Headaches: Does the pain ever throb or come in pulses during your headaches?	signs and symptoms	MED079		Encoded Value
CHOP:0000328	PNC_MED080		Migraine & Recurrent Headaches: Do your headaches make it hard for you to do your school work or other things you want(s) to do?	signs and symptoms	MED080		Encoded Value
CHOP:0000329	PNC_MED081		Migraine & Recurrent Headaches: Did you ever see a doctor for your headaches?	signs and symptoms	MED081		Encoded Value
CHOP:0000330	PNC_MED082		Migraine & Recurrent Headaches: (If yes), Did the doctor say that you had a migraine?	signs and symptoms	MED082		Encoded Value
CHOP:0000331	PNC_MED083		Migraine & Recurrent Headaches: Did you ever get treated for a migraine?	signs and symptoms	MED083		Encoded Value
CHOP:0000332	PNC_MED116		Epilepsy/Convulsions/Seizures: Have you ever had convulsions or seizures?	signs and symptoms	MED116		Encoded Value
CHOP:0000333	PNC_MED117		Epilepsy/Convulsions/Seizures: Have you ever been diagnosed with epilepsy?	signs and symptoms	MED117		Encoded Value
CHOP:0000334	PNC_MED118		Epilepsy/Convulsions/Seizures: Have you ever been treated for epilepsy, convulsions or seizures?	signs and symptoms	MED118		Encoded Value
CHOP:0000335	PNC_MED119		Epilepsy/Convulsions/Seizures: How many times have you had a seizure?	signs and symptoms	MED119		Encoded Value
CHOP:0000336	PNC_MED120		Epilepsy/Convulsions/Seizures: How old were you when you last had a seizure?	signs and symptoms	MED120		Encoded Value
CHOP:0000337	PNC_MED121		Epilepsy/Convulsions/Seizures: Was a cause found for the seizure(s)?	signs and symptoms	MED121		Encoded Value
CHOP:0000338	PNC_MED124		Epilepsy/Convulsions/Seizures: Were these seizures only during a fever?	signs and symptoms	MED124		Encoded Value
CHOP:0000339	PNC_MED125		Serious Head Injury: Have you ever had a serious head injury? (that is, traumatic injury, impact to face or head causing their brain to be jarred)	injuries	MED125		Encoded Value
CHOP:0000340	PNC_MED126		Serious Head Injury: How many times have you had a serious head injury?	injuries	MED126		Encoded Value
CHOP:0000341	PNC_MED127		Serious Head Injury: Did you ever lose consciousness from a head injury?	injuries	MED127		Encoded Value
CHOP:0000342	PNC_MED128		Serious Head Injury: For how long? (Minutes)	injuries	MED128		Encoded Value
CHOP:0000343	PNC_MED129		Serious Head Injury: For how long? (Hours)	injuries	MED129		Encoded Value
CHOP:0000344	PNC_MED130		Serious Head Injury: For how long? (Days)	injuries	MED130		Encoded Value
CHOP:0000345	PNC_MED131		Serious Head Injury: How old were you when you first lost consciousness from a head injury?	injuries	MED131		Encoded Value
CHOP:0000346	PNC_MED132		Serious Head Injury: Did you fracture or break your skull?	injuries	MED132		Encoded Value
CHOP:0000347	PNC_MED133		Serious Head Injury: Did you have surgery to the head because of this injury?	injuries	MED133		Encoded Value
CHOP:0000348	PNC_MED134		Serious Head Injury: Did you have amnesia or memory loss?	injuries	MED134		Encoded Value
CHOP:0000349	PNC_MED135		Serious Head Injury: How long did it last? (Minutes)	injuries	MED135		Encoded Value
CHOP:0000350	PNC_MED136		Serious Head Injury: How long did it last? (Hours)	injuries	MED136		Encoded Value
CHOP:0000351	PNC_MED137		Serious Head Injury: How long did it last? (Days)	injuries	MED137		Encoded Value
CHOP:0000352	PNC_MED138		Serious Head Injury: After this head injury, did you start getting headaches that you had not had before?	injuries	MED138		Encoded Value
CHOP:0000353	PNC_MED139		Serious Head Injury: Did you have memory loss after the headache?	injuries	MED139		Encoded Value
CHOP:0000354	PNC_MED140		Serious Head Injury: How many times?	injuries	MED140		Encoded Value
CHOP:0000355	PNC_MED141		Serious Head Injury: How long did the memory loss last? (Days)	injuries	MED141		Encoded Value
CHOP:0000356	PNC_MED142		Serious Head Injury: How long did the memory loss last? (Weeks)	injuries	MED142		Encoded Value
CHOP:0000357	PNC_MED143		Serious Head Injury: How long did the memory loss last? (Months)	injuries	MED143		Encoded Value
CHOP:0000358	PNC_MED144		HSerious Head Injury: How old were you the first time?	injuries	MED144		Encoded Value
CHOP:0000359	PNC_MED145		Other Neurological: Have you ever been unconscious for any other reason? (Not including general anesthesia, seizures, or head injuries mentioned above)	signs and symptoms	MED145		Encoded Value
CHOP:0000360	PNC_MED147		Other Neurological: Hospitalization (overnight)?	hospitalizations	MED147		Encoded Value
CHOP:0000361	PNC_MED148		Other Neurological: Age	age/birthdate	MED148		Encoded Value
CHOP:0000362	PNC_MED150		Other Neurological: Hospitalization (overnight)?	hospitalizations	MED150		Encoded Value
CHOP:0000363	PNC_MED151		Other Neurological: Age	age/birthdate	MED151		Encoded Value
CHOP:0000364	PNC_MED153		Other Neurological: Hospitalization (overnight)?	hospitalizations	MED153		Encoded Value
CHOP:0000365	PNC_MED154		Other Neurological: Age	age/birthdate	MED154		Encoded Value
CHOP:0000366	PNC_MED236		Birth defects - Do/did you have this problem?	congenital and genetic disorders	MED236		Encoded Value
CHOP:0000367	PNC_MED238		Birth defects - Do/did you receive treatment from a doctor/physician?	congenital and genetic disorders	MED238		Encoded Value
CHOP:0000368	PNC_MED241		Birth defects - Is this a current condition?	congenital and genetic disorders	MED241		Encoded Value
CHOP:0000369	PNC_MED242		Lead poisoning - Do/did you have this problem?	poisoning	MED242		Encoded Value
CHOP:0000370	PNC_MED244		Lead poisoning - Do/did you receive treatment from a doctor/physician?	poisoning	MED244		Encoded Value
CHOP:0000371	PNC_MED247		Lead poisoning - Is this a current condition?	poisoning	MED247		Encoded Value
CHOP:0000372	PNC_MED248		Speech problem - Do/did you have this problem?	signs and symptoms	MED248		Encoded Value
CHOP:0000373	PNC_MED250		Speech problem - Do/did you receive treatment from a doctor/physician?	signs and symptoms	MED250		Encoded Value
CHOP:0000374	PNC_MED253		Speech problem - Is this a current condition?	signs and symptoms	MED253		Encoded Value
CHOP:0000375	PNC_MED254		Vocal Tics (that is, noises or words that you made without being able to control them) - Do/did you have this problem?	signs and symptoms	MED254		Encoded Value
CHOP:0000376	PNC_MED256		Vocal Tics (that is, noises or words that you made without being able to control them) - Do/did you receive treatment from a doctor/physician?	signs and symptoms	MED256		Encoded Value
CHOP:0000377	PNC_MED259		Vocal Tics (that is, noises or words that you made without being able to control them) - Is this a current condition?	signs and symptoms	MED259		Encoded Value
CHOP:0000378	PNC_MED260		Motor Tics (that is, sudden jerks in your face or parts of your body that you weren't able to control) - Do/did you have this problem?	signs and symptoms	MED260		Encoded Value
